sentences ,level
أنا أحب التفاح.,A
السماء زرقاء.,A
هذا كتابي.,A
القط يجري بسرعة.,A
البيت كبير.,A
أنا أدرس العربية.,A
الشمس مشرقة.,A
الولد يلعب بالكرة.,A
أنا في المدرسة.,A
أمي تطبخ الطعام.,A
أبي يعمل في المكتب.,A
الزهور جميلة.,A
أنا أحب القهوة.,A
السيارة حمراء.,A
الماء بارد.,A
أنا أكتب رسالة.,A
الباب مفتوح.,A
الحديقة واسعة.,A
الطائر يطير في السماء.,A
أنا أقرأ كتابًا.,A
الولد سعيد.,A
البنت ذكية.,A
هذا قلمي.,A
أنا أحب الرياضة.,A
القط أسود.,A
الكلب صغير.,A
المعلمة تشرح الدرس.,A
أنا أجلس على الكرسي.,A
هذه شجرة.,A
أنا أستمع إلى الموسيقى.,A
القمر جميل.,A
أنا أعيش في المدينة.,A
أختي تدرس في الجامعة.,A
الأرض خضراء.,A
أنا أحب السفر.,A
الولد يأكل التفاح.,A
أنا أذهب إلى السوق.,A
الخبز طازج.,A
النافذة مغلقة.,A
أختي تطهو الطعام.,A
الشارع مزدحم.,A
أنا أشرب الحليب.,A
أنا أرتدي قميصًا أزرق.,A
الولد يبكي.,A
المطر ينزل من السماء.,A
هذا حقيبتي.,A
أنا أكتب بالقلم.,A
الساعة تشير إلى الثالثة.,A
أنا أحب القطط.,A
الجبل مرتفع.,A
أنا أجري في الحديقة.,A
البحر هادئ.,A
أنا أستيقظ مبكرًا.,A
أنا أغسل يدي.,A
الورقة بيضاء.,A
أبي يقود السيارة.,A
أنا أشتري الخضروات.,A
القط يقفز على الطاولة.,A
أنا أتناول العشاء.,A
أنا أساعد أمي.,A
أنا أشاهد التلفاز.,A
الكتاب فوق الطاولة.,A
الطفل يلعب بالرمل.,A
أنا أحب فصلي الشتاء.,A
القلم فوق الدفتر.,A
الطاولة خشبية.,A
الطفل يضحك.,A
أنا أفتح النافذة.,A
أنا أرتب سريري.,A
الموز لذيذ.,A
أنا أكتب واجبي.,A
هذا دفتر أختي.,A
أنا أتعلم العربية.,A
أنا أسبح في المسبح.,A
الولد يركض بسرعة.,A
الزهور في الحديقة.,A
أنا أشرب العصير.,A
البيت نظيف.,A
القطة تنام تحت الطاولة.,A
أنا أحب فصل الصيف.,A
أنا أفتح الباب.,A
الطفل يشرب الماء.,A
أنا أرسم صورة.,A
أخي يدرس الرياضيات.,A
أنا أحب الشوكولاتة.,A
العصفور يغني في الصباح.,A
أنا ألعب مع أصدقائي.,A
أنا أكتب اسمي.,A
الماء شفاف.,A
أنا أضع الكتاب في الحقيبة.,A
الساعة على الحائط.,A
أنا أرتدي حذاءً جديدًا.,A
أنا أغلق الباب.,A
الشارع طويل.,A
أنا أشرب القهوة.,A
الطفل ينظر إلى السماء.,A
النافذة نظيفة.,A
أنا أجلس على السرير.,A
المدرسة قريبة.,A
أنا أسمع صوت الطيور.,A
القطة تموء.,A
أنا أحب العصير.,A
أبي يشاهد الأخبار.,A
أنا أشتري كتابًا جديدًا.,A
أنا أمشي في الحديقة.,A
أنا أغسل الصحون.,A
السيارة تسير في الشارع.,A
أنا أرتدي الجاكيت.,A
أنا أنظف الغرفة.,A
أنا أتعلم كلمات جديدة.,A
أنا أكتب بالحبر.,A
الطفل ينام مبكرًا.,A
أنا أشرب الماء البارد.,A
الكرسي مصنوع من الخشب.,A
أنا أضع حقيبتي على الطاولة.,A
أنا أذهب إلى الحديقة.,A
القمر يضيء في الليل.,A
أنا أسمع الموسيقى.,A
أنا أحب أكل الخبز.,A
الورود جميلة في الحديقة.,A
أنا أكتب بالأحمر.,A
أنا أضع القلم في الحقيبة.,A
أختي ترتدي فستانًا.,A
أنا أحب تناول الفواكه.,A
أنا أفتح الكتاب.,A
أنا أضع الورقة في الدفتر.,A
أنا أنام في السرير.,A
الطفل يمشي في الحديقة.,A
أنا أضع الحقيبة على الكرسي.,A
أنا أغلق الحاسوب.,A
أنا أذهب إلى المدرسة.,A
أمي تعد الطعام.,A
القط يجلس على الكرسي.,A
أنا أحب القهوة.,A
السماء صافية اليوم.,A
أبي يقود السيارة.,A
أنا أكتب بالقلم.,A
الطفل يلعب بالكرة.,A
أنا أفتح الباب.,A
أنا أرتب غرفتي.,A
الماء بارد.,A
أختي تدرس في الجامعة.,A
أنا أشرب الحليب.,A
القطة تنام في الشمس.,A
أنا أقرأ كتابًا.,A
البحر أزرق.,A
أنا أمشي في الحديقة.,A
الولد يركض بسرعة.,A
أنا أجلس على الأريكة.,A
أنا أستمع إلى الموسيقى.,A
القمر مضيء في الليل.,A
الزهور جميلة.,A
أنا أغسل وجهي بالماء.,A
أنا أحب الرياضة.,A
السيارة تسير بسرعة.,A
أنا أتعلم العربية.,A
الكتاب فوق الطاولة.,A
أنا أتناول وجبة الفطور.,A
أنا أحب الألوان الزاهية.,A
أنا أكتب واجبي.,A
أمي تسقي النباتات.,A
القط يأكل السمك.,A
أنا أشاهد التلفاز.,A
أنا أغسل يدي بالصابون.,A
الولد يحمل حقيبته.,A
أنا أضع السكر في الشاي.,A
أنا أذهب إلى السوق.,A
أختي تلعب مع صديقتها.,A
النافذة مفتوحة.,A
أنا أرتدي القميص الأحمر.,A
الشارع مزدحم اليوم.,A
أنا أساعد أمي في المطبخ.,A
أنا أقرأ الجريدة.,A
أنا أشرب عصير البرتقال.,A
أنا أغلق الباب.,A
أنا أرتب سريري كل صباح.,A
أبي يعمل في المكتب.,A
أنا أجلس على الشرفة.,A
أنا أغسل الصحون.,A
أنا أكتب رسالة إلى صديقي.,A
أنا أرتدي الحذاء الجديد.,A
أنا أفتح الكتاب.,A
أنا أحب فصل الشتاء.,A
أنا أضع القلم في الحقيبة.,A
الطفل يلعب في الحديقة.,A
أنا أتعلم السباحة.,A
القطة تشرب الماء.,A
أنا أحب الطقس المشمس.,A
أخي يدرس الرياضيات.,A
أنا أضع الهاتف على الطاولة.,A
أنا أغلق النافذة.,A
أنا أحب تناول الفواكه.,A
أنا أذهب إلى المسجد.,A
أنا أنظف الطاولة بعد الأكل.,A
أنا أضع الصورة على الجدار.,A
أنا أستيقظ مبكرًا كل يوم.,A
أنا أتناول الفطور في الصباح.,A
أنا أذهب إلى العمل بالحافلة.,A
أنا أشرب القهوة مع أصدقائي.,A
أنا أحب الطبخ في المنزل.,A
أنا أذهب إلى السوق لشراء الخضار.,A
أنا أمارس الرياضة في الصباح.,A
أنا أغسل الملابس يوم الأحد.,A
أنا أقرأ كتابًا قبل النوم.,A
أنا أذهب إلى السينما يوم الجمعة.,A
أنا أحب المشي في المساء.,A
أنا أنظف المنزل كل أسبوع.,A
أنا أكتب قائمة التسوق.,A
أنا أحب تناول العشاء مع العائلة.,A
أنا أستمع إلى الموسيقى الهادئة.,A
أنا أحب السفر في العطلة.,A
أنا أغسل السيارة في نهاية الأسبوع.,A
أنا أرتب خزانة ملابسي.,A
أنا أزور أصدقائي في العطلة.,A
أنا أحب لعب كرة القدم مع أصدقائي.,A
الشمس تشرق في الصباح.,A
السماء زرقاء اليوم.,A
الطيور تغرد في الحديقة.,A
أنا أحب المشي في الغابة.,A
المطر يسقط في الشتاء.,A
أنا أحب رائحة الزهور.,A
النهر يجري بين الجبال.,A
القمر يظهر في الليل.,A
أنا أزرع الأشجار في الحديقة.,A
أنا أحب مشاهدة غروب الشمس.,A
البحر جميل في الصيف.,A
الأشجار تعطي الظل في الصيف.,A
أنا أسمع صوت المطر على النافذة.,A
الهواء نقي في الصباح.,A
الجبال عالية جدًا.,A
أنا أرى قوس قزح بعد المطر.,A
أنا أحب السباحة في البحر.,A
الصحراء حارة جدًا في الصيف.,A
أنا أجمع الأوراق الصفراء في الخريف.,A
أنا أشاهد النجوم في الليل.,A
أنا أذهب إلى المدرسة كل صباح.,A
المعلم يشرح الدرس.,A
